"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C10,C135","3","22nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C8","2","C 360 pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C59","2","C 2.0 - 6.0 pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C9","2","C 390 pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C23,C26,C28,C29,C56,C57,C58,C136,C137,C138,C139","12","DNP","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6,C7","2","C 2.0 - 10.0 pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11,C84","2","12pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C12,C13","2","C","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14,C19,C27,C37,C38,C43,C44,C46,C49,C50,C53,C61,C63,C64,C67,C69,C72,C75,C79,C85,C90,C91,C96,C103,C106,C115,C118,C121,C124,C127,C131,C141","32","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C15,C16,C18,C54","4","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C17,C55,C100,C109,C111,C114","6","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C20,C35,C36,C41,C42,C47,C73,C76,C80,C81,C86,C89,C92,C95,C99,C102,C104,C107,C112,C116,C119,C122,C125,C128,C130,C132","26","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C21,C22","2","22pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C24,C25,C30,C31,C32,C33,C34,C39,C40,C45,C48,C51,C52,C60,C62,C65,C66,C68,C70,C71,C74,C77,C82,C83,C87,C88,C93,C94,C105,C108,C117,C120,C123,C126,C129,C133,C134","37","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C78,C101,C110,C113","4","100pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C97","1","330pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C98","1","150nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C140","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2","2","BAV199DW","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/ds30417.pdf"
"D3,D4,D5,D15,D16,D17,D18,D19","8","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D6,D7,D8,D9,D10,D11,D12,D13,D14","9","1N4001","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1,J2","2","Conn_Coaxial","","","","AD813ARZ:R_8_ADI-L","~"
"J3","1","Screw_Terminal_01x03","","","","","~"
"J4","1","Screw_Terminal_01x02","","","","","~"
"J5,J8","2","Conn_01x03_Pin","","","","","~"
"J7","1","Conn_Coaxial","","","","","~"
"K3,K4,K6,K7,K8","5","TQ2-L2-5V","","","","TQ2:RELAY_TQ2_2C_PAN","TQ2-L2-5V"
"L1,L3,L5,L7,L10,L11,L13,L15,L18,L20,L22,L25,L26,L28,L29,L32,L33,L35,L37,L40,L42,L44,L45,L48,L50,L52,L54,L56,L58","29","0.68uH, 0.8Ohm","","","","","~"
"L2,L4,L6,L8,L9,L12,L14,L16,L17,L19,L21,L23,L24,L27,L30,L31,L34,L36,L38,L39,L41,L43,L46,L47,L49,L51,L53,L55,L57","29","LCBB-601","","","","","~"
"Q1,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13","9","IRL6283M","","","","","https://www.infineon.com/dgdl/irl6283mpbf.pdf?fileId=5546d462533600a40153565fe9452573"
"R1,R2,R12,R16,R37,R41,R45,R73,R75,R77,R78,R79,R80,R81,R82,R94,R120,R121,R122,R124,R125,R126,R127,R141,R142,R143,R144,R145,R146,R148,R149,R150,R152,R157,R158,R166,R167,R168,R169,R170,R171,R180,R181","43","33R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R8,R11,R15","4","R 953k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R5,R7,R17,R32,R36,R43,R199","8","25R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R21,R22,R24,R25,R26,R27,R69","8","499R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9,R13","2","R 9.53 kÎ©","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10,R14","2","R 49.9k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R18,R198","2","33 R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R19,R35","2","R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R20,R23,R33,R34,R38,R39,R53,R85,R87,R89,R91,R93,R96,R98,R100,R101,R188","17","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R28,R29,R30,R31","4","100 R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R40,R47,R48,R51","4","16k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R42,R49","2","8k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R44,R200","2","49.9 R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R46,R54,R56,R58,R59,R70,R71,R72,R83,R84","10","DNP","","","","Resistor_SMD:R_0805_2012Metric","~"
"R50,R63,R65,R67,R103","5","120","","","","Resistor_SMD:R_0805_2012Metric","~"
"R52","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R55,R57","2","0R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R60","1","360","","","","Resistor_SMD:R_0805_2012Metric","~"
"R61,R62,R104","3","1k2","","","","Resistor_SMD:R_0805_2012Metric","~"
"R64,R86,R88,R90,R92,R95,R97,R99,R183","9","220R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R66","1","560","","","","Resistor_SMD:R_0805_2012Metric","~"
"R68","1","200","","","","Resistor_SMD:R_0805_2012Metric","~"
"R74,R119,R123,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R147,R151,R153,R154,R155,R156,R162,R163,R164,R165,R172,R173,R174,R175,R176,R177,R178,R179,R189,R190,R191,R192","38","10kR","","","","Resistor_SMD:R_0805_2012Metric","~"
"R76,R106","2","600","","","","Resistor_SMD:R_0805_2012Metric","~"
"R102","1","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R105","1","800","","","","Resistor_SMD:R_0805_2012Metric","~"
"R107,R108","2","300","","","","Resistor_SMD:R_0805_2012Metric","~"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27","27","TestPoint","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"U1,U8","2","OPA656U","","","","OPA656U:SOIC127P599X175-8N",""
"U2,U15,U18","3","AP1117-ADJ","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf"
"U3,U5","2","AD8337BCPZ-REEL-ND","","","","footprints:CP_8_2_ADI","AD8337BCPZ-REEL-ND"
"U4,U6","2","AD8138ARZ","","","","AD813ARZ:R_8_ADI-L","https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138-EP.pdf"
"U7","1","DAC61408RHAR","","","","","https://www.ti.com/lit/gpn/dac61408"
"U9","1","NUCLEOH723ZG","","","","NUCLEOH723ZG:MODULE_NUCLEOH723ZG",""
"U10","1","P0082_BOTTOMMOUNT","","","","P0082_BOTTOMMOUNT:MODULE_P0082_BOTTOMMOUNT",""
"U11,U14","2","LM337_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm337-n.pdf"
"U12,U13","2","OPA2277","","","","","https://www.ti.com/lit/ds/symlink/opa2277.pdf"
"U17","1","AD8611ARZ","","","","","https://www.analog.com/media/en/technical-documentation/data-sheets/AD8611_8612.pdf"
"U21","1","LTC2299xUP","","","","Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm","https://www.analog.com/media/en/technical-documentation/data-sheets/2299fa.pdf"
"Y1","1","XLL735080.000000I","","","","KiCad:XLL735080000000I","https://www.renesas.com/us/en/document/dst/xl-family-low-phase-noise-quartz-based-pll-oscillators-datasheet"
